recette_id,nom,description,couleur_hex,collection,Rang,ligne,format,nb_unites,instructions,notes,ingredient_type,ingredient_nom,quantite_g,cout_ingredient,cure,prix_vente,image_url,statut,image_url_noel,colsSecondaires,desc_emballage,Surgras,ingredient_inci
1,BAISER FRUITÉ,"Ferme les yeux et laisse-toi porter par les vergers en fleurs ! Fraise et cerise se mêlent en un duo gourmand et envoûtant. Un baume qui hydrate, protège et donne envie d'être embrassée.",#5A1C37,ÉMOLIA,,BAUME À LÈVRES,,18,,Colore les lèvres / 2-4g Allantoine selon sensibilité,Ingrédients Liquides,Allantoine,4,0,0,0,,public,,,"La douceur des fruits rouges, un brillant qui fait tout dire.",,ALLANTOIN
1,BAISER FRUITÉ,"Ferme les yeux et laisse-toi porter par les vergers en fleurs ! Fraise et cerise se mêlent en un duo gourmand et envoûtant. Un baume qui hydrate, protège et donne envie d'être embrassée.",#5A1C37,ÉMOLIA,,BAUME À LÈVRES,,18,,Colore les lèvres / 2-4g Allantoine selon sensibilité,Ingrédients Secs,Arôme cerise,"0,6",0,0,0,,public,,,"La douceur des fruits rouges, un brillant qui fait tout dire.",,FRAGRANCE
1,BAISER FRUITÉ,"Ferme les yeux et laisse-toi porter par les vergers en fleurs ! Fraise et cerise se mêlent en un duo gourmand et envoûtant. Un baume qui hydrate, protège et donne envie d'être embrassée.",#5A1C37,ÉMOLIA,,BAUME À LÈVRES,,18,,Colore les lèvres / 2-4g Allantoine selon sensibilité,Ingrédients Secs,Arôme de fraises,"0,6",0,0,0,,public,,,"La douceur des fruits rouges, un brillant qui fait tout dire.",,Vegetable Oil
1,BAISER FRUITÉ,"Ferme les yeux et laisse-toi porter par les vergers en fleurs ! Fraise et cerise se mêlent en un duo gourmand et envoûtant. Un baume qui hydrate, protège et donne envie d'être embrassée.",#5A1C37,ÉMOLIA,,BAUME À LÈVRES,,18,,Colore les lèvres / 2-4g Allantoine selon sensibilité,Beurres,Beurre de karité,30,0,0,0,,public,,,"La douceur des fruits rouges, un brillant qui fait tout dire.",,Butyrospermum parkii (Shea) Butter
1,BAISER FRUITÉ,"Ferme les yeux et laisse-toi porter par les vergers en fleurs ! Fraise et cerise se mêlent en un duo gourmand et envoûtant. Un baume qui hydrate, protège et donne envie d'être embrassée.",#5A1C37,ÉMOLIA,,BAUME À LÈVRES,,18,,Colore les lèvres / 2-4g Allantoine selon sensibilité,Beurres,Beurre de mangue,14,0,0,0,,public,,,"La douceur des fruits rouges, un brillant qui fait tout dire.",,Mangifera indica seed butter
1,BAISER FRUITÉ,"Ferme les yeux et laisse-toi porter par les vergers en fleurs ! Fraise et cerise se mêlent en un duo gourmand et envoûtant. Un baume qui hydrate, protège et donne envie d'être embrassée.",#5A1C37,ÉMOLIA,,BAUME À LÈVRES,,18,,Colore les lèvres / 2-4g Allantoine selon sensibilité,Cires,Cire de carnauba,20,0,0,0,,public,,,"La douceur des fruits rouges, un brillant qui fait tout dire.",,Copernicia Cerifera (carnauba) wax
1,BAISER FRUITÉ,"Ferme les yeux et laisse-toi porter par les vergers en fleurs ! Fraise et cerise se mêlent en un duo gourmand et envoûtant. Un baume qui hydrate, protège et donne envie d'être embrassée.",#5A1C37,ÉMOLIA,,BAUME À LÈVRES,,18,,Colore les lèvres / 2-4g Allantoine selon sensibilité,Huiles,Huile de calendula,25,0,0,0,,public,,,"La douceur des fruits rouges, un brillant qui fait tout dire.",,Helianthus annuus (sunflower) seed oil (and) Calendula officinalis flower extract
1,BAISER FRUITÉ,"Ferme les yeux et laisse-toi porter par les vergers en fleurs ! Fraise et cerise se mêlent en un duo gourmand et envoûtant. Un baume qui hydrate, protège et donne envie d'être embrassée.",#5A1C37,ÉMOLIA,,BAUME À LÈVRES,,18,,Colore les lèvres / 2-4g Allantoine selon sensibilité,Huiles,Huile végétale jojoba,25,0,0,0,,public,,,"La douceur des fruits rouges, un brillant qui fait tout dire.",,Simmondsia chinensis seed oil
1,BAISER FRUITÉ,"Ferme les yeux et laisse-toi porter par les vergers en fleurs ! Fraise et cerise se mêlent en un duo gourmand et envoûtant. Un baume qui hydrate, protège et donne envie d'être embrassée.",#5A1C37,ÉMOLIA,,BAUME À LÈVRES,,18,,Colore les lèvres / 2-4g Allantoine selon sensibilité,Colorants et Pigments,Mica rose-rouge,"1,5",0,0,0,,public,,,"La douceur des fruits rouges, un brillant qui fait tout dire.",,"MICA, CI 77891 (Titanium Dioxide), CI 77491 (Iron Oxides)"
1,BAISER FRUITÉ,"Ferme les yeux et laisse-toi porter par les vergers en fleurs ! Fraise et cerise se mêlent en un duo gourmand et envoûtant. Un baume qui hydrate, protège et donne envie d'être embrassée.",#5A1C37,ÉMOLIA,,BAUME À LÈVRES,,18,,Colore les lèvres / 2-4g Allantoine selon sensibilité,Ingrédients Liquides,Vitamine E,"1,5",0,0,0,,public,,,"La douceur des fruits rouges, un brillant qui fait tout dire.",,Tocopherol
